comparison,claim_role,scenario,metric,observed_delta,ci95_low,ci95_high,p_two_sided,decision
masking,retained_positive,full,macro_f1,0.03132665996021994,0.01537914068903774,0.04652871871367096,0.00039996000399960006,significant_positive
masking,retained_positive,full,minority_f1,0.08350042103353633,0.04933504275977611,0.1152212707325816,0.00019998000199980003,significant_positive
s05_full_path,retained_supporting_positive,full,macro_f1,0.02609895877993777,0.013511118036694825,0.03867032527923584,0.00019998000199980003,significant_positive
s05_full_path,retained_supporting_positive,full,minority_f1,0.060855963249936786,0.035216832906007765,0.08630577810108661,0.00019998000199980003,significant_positive
dg_matched_masking,controlling_negative,full,macro_f1,-0.014308434743430984,-0.025883703539147974,-0.00242473768885248,0.018598140185981403,significant_negative
dg_matched_masking,controlling_negative,full,minority_f1,-0.027943558294335036,-0.05109195252880454,-0.00421693086391315,0.0217978202179782,significant_negative
memory_independent,descriptive_unstable,full,macro_f1,0.015361011956237828,0.00041327078652102526,0.029214604664593934,0.043795620437956206,significant_positive
memory_independent,descriptive_unstable,full,minority_f1,0.040882528699900646,0.009394595399498941,0.07047754991799593,0.011198880111988802,significant_positive
